NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO,CENARIO
B71,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.85,214.47,0.0105,0.452,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B69,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.85,214.47,0.0105,0.452,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B70,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.12,57.74,0.0176,57.74,85.0,1.0,Transbordamento,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B72,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.12,57.74,0.0176,57.74,85.0,1.0,Transbordamento,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B74,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.12,57.74,0.0176,57.74,85.0,1.0,Transbordamento,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B76,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.13,57.87,0.0175,57.87,85.0,1.0,Transbordamento,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B78,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.13,57.87,0.0175,57.87,85.0,1.0,Transbordamento,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B80,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.13,57.87,0.0175,57.87,85.0,1.0,Transbordamento,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B82,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.13,57.87,0.0175,57.87,85.0,1.0,Transbordamento,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B84,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.13,57.87,0.0175,57.87,85.0,1.0,Transbordamento,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B85,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,0.13,,,0.13,85.0,1.0,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B86,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,0.13,,,0.13,85.0,1.0,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B88,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,0.13,,,0.13,85.0,1.0,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B90,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,0.13,,,0.13,85.0,1.0,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B92,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.15,213.58,0.0177,0.0,85.0,1.075,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B94,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.15,213.58,0.0177,0.0,85.0,1.075,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B96,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.15,213.58,0.0177,0.0,85.0,1.075,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B95,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.08,0.675,0.0,0.0,85.0,1.075,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B93,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.08,0.675,0.0,0.0,85.0,1.075,Normal,11.16,2.9,11.17,99.91047448522828,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B91,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.08,0.675,0.0,0.0,85.0,1.075,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B89,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,0.07,23.2,0.00703,23.2,85.0,1.0,Transbordamento,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B87,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,0.07,23.2,0.00703,23.2,85.0,1.0,Transbordamento,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B116,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.04,416.41,0.0177,0.0,85.0,1.0,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
B114,0.0315,1.29,30,13.9,79.1,rua,0.4,18.75,1.04,416.41,0.0177,0.0,85.0,1.0,Normal,11.15,2.9,11.17,99.82094897045658,25.96239928379588,13.9,0.0,0.0,0.02,0.0,01
