NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
BBB118,0.0618,1.29,115,54.3,87.5,rua,0.4,18.75,1.58,452.74,0.0898,0.0,89.0,1.0,Normal,53.13,2.6,57.3,92.72251308900525,4.537521815008726,61.59,0.0,0.0,4.64,0.04
B48,0.0618,1.0,115,54.3,87.5,rua,0.4,18.75,0.21,58.54,0.0715,35.47878787878788,89.0,1.65,Transbordamento,53.06,2.6,57.22,92.72981475008739,4.543865781195387,61.59,0.0,0.0,4.62,0.04
BB117,0.0618,1.29,115,54.3,87.5,rua,0.4,18.75,1.42,73.60,0.0898,0.0,89.0,1.0,Normal,53.13,2.6,57.3,92.72251308900525,4.537521815008726,61.59,0.0,0.0,4.64,0.04
B83,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.02,165.69,0.0906,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B81,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.02,165.69,0.0906,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B79,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.02,165.69,0.0906,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B77,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.02,165.69,0.0906,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B75,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.02,165.69,0.0906,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B73,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.29,280.59,0.0543,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B71,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.29,280.59,0.0543,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B69,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.29,280.59,0.0543,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B70,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,0.83,73.42,0.0897,0.433,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B72,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,0.83,73.42,0.0897,0.433,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B74,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,0.83,73.42,0.0897,0.433,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B76,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.00,0.604,0.004,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B78,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.00,0.604,0.004,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B80,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.00,0.604,0.004,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B82,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.00,0.604,0.004,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B84,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.00,0.604,0.004,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B85,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.00,101.53,0.0725,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
